date,USD,gallons,miles,octane,ethanol,notes
2019/09/03,15.9,6.387,116.7,87,,Trails
2019/09/03,28.65,11.602,190.7,87,0,Caseys
2019/09/04,22.02,9.101,134.8,87,10,Cenex
2019/09/04,35.52,12.51,195.7,87,0,Exon
2019/09/04,32.86,12.174,194.3,87,0,Flying J
2019/09/04,46.98,16.206,242.4,87,0,Sinclair
2019/09/05,26.43,9.794,166.6,87,10,Exxon
2019/09/09,55.36,18.803,378.1,87,10,Conoco/Exxon
2019/09/09,18.9,6.521,126,87,0,Conoco
2019/09/09,51.07,13.807,252.7,87,0,Shell
2019/09/10,39,13.003,240.1,87,10,Arco
